slide-density — demo deck, 1920x1080, every scene seeked to its settled frame.
fill = content bbox / canvas.  ink = union area of painted marks.  LER = largest empty rectangle.

archetype         bbox after    fill%           ink%            LER%            LER after             optical after   minText
title             1580x904      21.2 -> 68.9    14.3 -> 31.3    38.4 -> 24.2    531x946 @1389,134     (-60,-4)        42
pipeline          1698x769      49.4 -> 63.0    22.2 -> 37.2    23.5 -> 17.2    1599x224 @321,0       (-1,-3)         40
annotated-figure  1672x691      51.3 -> 55.7    30.7 -> 36.0    23.1 -> 21.7    1920x234 @0,846       (-14,-40)       40
grid              1524x909      67.7 -> 66.8    27.0 -> 28.8    38.2 -> 23.4    580x838 @1340,242     (-88,-3)        42
equation-walk     1655x788      46.3 -> 62.9    14.1 -> 20.5    29.2 -> 19.3    1920x208 @0,872       (-23,-62)       42
stack             1559x848      58.4 -> 63.7    36.0 -> 36.9    16.7 -> 13.3    1920x144 @0,936       (-70,-28)       40
split-compare     1646x906      63.3 -> 71.9    16.6 -> 22.7    18.6 -> 15.5    384x836 @1536,244     (-27,-3)        42
bar-compare       1672x956      70.0 -> 77.1    33.1 -> 34.7    13.8 -> 10.5    1675x130 @245,0       (-14,-3)        40
data-table        1686x881      56.2 -> 71.6    16.8 -> 23.3    18.9 -> 21.9    680x669 @422,256      (-7,-3)         42
line-chart        1677x818      59.8 -> 66.2    21.0 -> 24.7    15.1 -> 12.5    1920x135 @0,945       (-11,-4)        40
claim-figure      1700x857      65.2 -> 70.2    34.5 -> 41.6    15.1 -> 12.9    1492x180 @428,0       (0,-3)          42
callout           1700x742      43.1 -> 60.8    30.0 -> 41.3    26.0 -> 16.0    1920x172 @0,908       (0,-3)          42

MEAN  fill 54.3 -> 66.6    ink 24.7 -> 31.6    LER 23.1 -> 17.4
