t,procs,total_mb,browser_mb,gpu_mb,renderer_mb,node_mb,frame
0,5,368,82,74,173,132,
10,5,371,91,72,168,133,
20,5,376,83,78,175,136,
30,5,364,81,73,172,135,
40,5,350,80,72,159,129,
50,5,381,96,79,167,135,
61,14,1327,163,432,659,214,
71,14,1304,168,325,733,268,
81,5,345,80,70,158,132,
91,5,377,84,78,177,142,
101,5,356,87,71,161,129,
111,5,348,81,68,161,128,
121,5,341,79,68,158,125,
131,5,365,84,75,169,137,
141,5,343,80,68,158,128,
152,5,347,80,68,161,128,
162,5,350,82,70,161,128,
172,5,351,80,69,164,129,
182,5,378,84,75,181,130,
192,5,345,90,66,153,81,
202,5,342,75,68,164,86,
212,5,343,76,66,165,120,
223,1,0,0,0,0,83,
233,1,0,0,0,0,56,
RENDER PROCESS GONE
