t,chrome_procs,chrome_rss_mb,node_rss_mb,free_mb,swap_used_mb
0,25,953,45,59,39121.50
5,30,1233,45,318,39372.62
10,30,1202,36,67,39905.81
15,30,1191,40,424,39718.69
21,30,1145,38,310,39489.44
26,30,1103,36,200,39567.88
31,35,1347,37,91,39912.62
36,30,1161,36,410,39733.81
41,30,1144,34,77,39349.06
46,30,1129,409,92,39649.31
51,30,1142,36,96,39428.19
56,30,1170,36,188,39211.00
61,30,1216,38,71,39491.06
66,30,1263,37,66,39666.19
72,30,1265,39,333,39700.75
77,30,1178,40,58,39509.25
82,30,1194,39,375,39638.81
87,30,1210,39,76,39581.38
92,30,1192,38,86,39261.50
97,30,1180,36,77,39136.38
102,30,1184,36,101,38988.81
107,30,1161,40,122,39733.44
112,39,2072,36,63,39650.25
117,30,1088,37,131,39758.19
122,39,2208,39,106,39895.12
127,30,1172,40,100,39496.12
133,30,1182,95,58,39298.81
138,39,2001,38,49,39586.12
143,38,2007,39,145,39754.38
148,39,2074,40,249,40192.50
153,39,2104,39,77,40021.69
158,30,1151,41,70,39512.69
163,30,1157,96,65,39391.19
168,30,1191,43,118,39622.19
173,30,1174,46,83,39561.69
178,30,1141,40,198,39448.94
183,30,1222,41,85,39533.75
189,30,1083,38,80,39089.88
194,30,1158,42,43,39378.31
199,30,1096,39,96,39492.31
204,30,1080,43,267,39823.25
209,30,1012,43,249,39753.31
214,30,1152,39,310,39644.81
219,30,1090,41,74,39507.31
225,30,1025,42,266,39701.69
230,30,1132,42,85,39711.69
235,30,1133,40,260,39505.44
240,30,1111,40,78,40210.25
245,30,1097,42,153,39701.50
250,30,1165,42,391,39868.88
255,30,1218,44,251,40020.94
260,30,1146,43,101,39921.56
265,30,1128,40,293,39725.31
270,30,1049,39,62,39217.00
275,30,1108,42,79,40095.06
281,30,986,48,71,39658.06
286,30,1093,44,73,39681.69
291,30,1077,40,73,39843.94
296,30,1060,39,57,39908.75
301,25,675,37,123,39939.00
306,25,625,38,124,39818.88
311,25,742,37,67,40083.25
316,25,726,42,87,40027.12
321,25,640,39,76,39772.06
327,25,683,38,57,39727.62
332,25,618,36,60,39875.62
337,25,727,41,108,40024.00
342,25,733,41,130,39560.56
347,25,779,43,87,39830.56
352,25,779,43,60,39747.38
358,25,753,43,79,39596.88
363,25,795,41,71,39573.56
368,25,759,42,57,39639.62
373,25,752,36,80,39025.50
378,25,765,38,126,39521.00
383,25,773,36,68,39395.38
388,25,787,36,63,39587.62
393,25,742,36,174,39567.56
398,25,798,36,78,39434.69
403,25,713,36,88,39223.81
408,25,764,38,64,39518.75
414,25,720,36,145,39332.25
419,25,778,36,60,39415.94
424,25,797,35,68,39282.94
429,25,837,36,235,39588.25
434,25,830,36,70,39477.56
439,30,1240,37,69,39980.50
444,30,1262,33,62,39958.62
449,30,1094,32,78,40201.06
454,30,1076,32,94,40292.12
459,30,1267,33,86,40606.56
464,30,1243,35,71,40513.69
469,25,720,41,520,40173.19
474,25,764,37,91,39507.88
479,25,803,38,76,39532.69
485,25,787,37,141,39577.06
490,25,744,36,122,39483.56
495,25,780,37,265,39627.12
500,25,779,41,344,39894.25
505,25,756,37,83,39643.69
510,25,795,37,62,39458.94
515,25,882,37,63,39420.31
520,25,862,37,85,39396.38
525,25,809,35,55,39232.81
530,25,742,38,102,39809.00
535,25,771,36,64,39907.88
540,25,798,33,95,40014.00
545,25,803,34,87,39672.81
551,25,771,32,99,39775.50
556,25,793,36,166,39743.31
561,25,778,36,194,39664.69
566,25,799,34,78,39634.19
571,25,833,34,233,39943.94
576,25,861,37,74,40113.12
581,25,841,37,307,40189.69
586,25,832,39,58,40124.12
591,25,832,39,238,40222.56
596,25,853,39,61,40140.00
601,25,816,38,105,39890.38
606,25,848,36,147,39671.12
612,25,750,35,65,39737.50
617,25,741,40,172,39998.38
622,25,773,143,214,40146.56
627,25,791,36,162,39933.00
632,25,781,36,74,39782.31
637,25,733,33,75,39552.38
642,25,776,35,70,39394.88
647,25,811,38,61,39623.38
652,25,798,36,198,39692.69
657,25,817,36,58,39765.00
663,25,829,38,61,39523.06
668,25,792,33,60,39337.50
673,25,823,34,145,39174.44
678,25,755,36,97,39421.38
683,25,845,35,63,39666.88
688,25,783,96,66,39731.75
693,25,700,44,164,39417.75
698,25,814,46,66,39640.81
703,25,780,98,71,39416.81
708,25,800,100,119,39803.44
713,25,801,103,134,39777.31
718,25,806,103,108,39915.31
723,25,853,101,64,39909.12
729,25,864,97,66,39934.19
734,25,855,53,94,39909.38
739,25,775,52,319,39949.88
744,25,807,52,494,40074.06
749,25,712,50,93,39708.00
754,25,798,50,79,39638.62
759,25,788,48,76,40126.25
764,25,779,48,123,39895.38
769,25,801,52,334,40128.12
774,25,797,50,187,40222.75
779,25,801,50,77,40150.69
784,25,840,48,66,40014.69
790,25,883,48,63,40058.62
795,25,885,49,69,40013.94
800,25,812,101,88,40083.25
805,25,668,45,243,40018.00
810,25,783,99,89,40113.94
815,25,787,96,63,40078.00
820,25,683,47,57,40000.00
825,25,673,48,58,40012.50
830,25,778,49,96,39943.75
835,25,814,48,186,40163.50
840,25,794,48,280,39983.62
845,25,828,48,240,39996.19
851,25,853,97,143,40305.25
856,25,807,100,350,40184.69
861,25,679,44,62,39866.25
866,25,803,45,63,39922.56
871,25,748,44,58,39915.19
876,25,769,45,411,40266.75
881,25,801,45,178,40132.94
886,25,800,43,328,39982.19
891,25,792,47,61,40208.62
896,25,796,43,65,39744.88
901,25,844,45,107,39989.69
906,25,801,43,59,39930.81
912,25,852,90,126,40162.44
917,25,820,89,61,39912.50
922,25,772,48,69,40067.75
927,25,759,97,86,39863.06
932,25,799,97,65,40071.88
937,25,718,45,54,40173.25
942,25,819,47,56,40186.19
947,25,821,50,69,40238.75
952,30,1047,46,291,40692.38
957,25,660,41,60,40237.88
962,25,757,44,267,40118.81
967,25,797,42,66,40271.56
973,25,742,46,61,39894.81
978,25,800,48,92,39966.25
983,25,812,48,93,40086.19
988,25,753,46,63,39780.56
993,25,742,44,124,39550.00
998,25,760,44,62,39740.88
1003,26,768,82,60,40416.19
1008,26,779,53,448,40952.19
1013,25,765,47,66,40252.12
1018,25,667,43,67,40075.12
1023,25,775,43,288,40243.88
1029,25,751,43,64,40041.88
1034,25,760,46,345,40228.69
1039,25,774,96,117,40175.56
1044,25,782,96,392,40282.06
1049,25,786,47,78,40236.62
1054,25,770,45,65,39940.56
1059,25,738,45,65,40149.81
1064,25,768,45,203,39917.81
1069,25,716,48,65,40047.75
1074,25,746,53,59,40408.94
1079,25,776,50,109,40411.62
1085,25,779,45,247,40212.12
1090,30,1172,39,70,40609.31
1095,25,814,45,74,40075.00
1100,25,743,42,108,39963.81
1105,25,741,43,361,40305.75
1110,25,782,45,75,40378.31
1115,25,788,43,73,40461.00
1120,25,793,41,64,40366.19
1125,25,780,41,192,40409.88
1130,25,779,45,357,40582.62
1135,25,786,45,258,40494.12
1140,25,775,45,61,39882.25
1145,25,791,43,116,40184.50
1151,25,849,43,63,40248.19
1156,25,828,43,73,40028.06
1161,25,651,126,87,40159.38
1166,25,760,124,79,39855.94
1171,25,732,45,85,39949.19
1176,25,764,232,109,40548.25
1181,25,736,49,83,40357.56
1186,25,790,48,579,40670.88
1191,25,779,48,96,40245.81
1196,34,1733,430,82,40698.31
1201,30,842,46,56,39860.94
1207,34,1697,45,52,41167.50
1212,25,733,49,803,40953.75
1217,25,792,50,65,39939.25
1222,25,795,51,64,39476.00
1227,25,761,48,69,39645.38
1232,25,688,48,77,39760.75
1237,25,752,50,76,39298.06
1242,25,793,50,118,39494.38
1247,25,726,50,399,39474.88
1253,25,670,51,397,39316.19
1258,25,758,49,62,39174.50
1263,25,782,50,84,39247.88
1268,25,773,45,83,39033.50
1273,25,772,43,76,38960.94
1278,25,764,45,55,39294.88
1283,25,768,48,66,39644.94
1288,25,738,50,64,39307.81
1293,25,772,51,109,39361.38
1298,25,764,68,73,39243.62
1303,25,775,68,145,38861.25
1308,25,726,46,223,38790.19
1314,25,735,46,197,38617.12
1319,25,786,45,56,39086.94
1324,25,798,45,64,38956.94
1329,25,756,45,78,38913.25
1334,25,751,48,52,38866.00
1339,25,749,49,134,39077.62
1344,30,1125,42,63,39523.75
1349,25,684,43,102,39107.50
1354,25,778,44,66,39386.19
1359,25,700,44,324,39314.50
1365,30,1049,41,64,39372.69
1370,25,747,46,394,39483.38
1375,25,770,46,190,39132.00
1380,25,679,44,148,38887.75
1385,25,749,44,423,38759.12
1390,25,786,44,452,39092.94
1395,30,1125,42,55,39203.62
1400,25,719,43,79,38870.25
1405,25,752,67,65,38806.75
1410,25,730,64,76,38649.44
1415,30,1157,40,167,39209.88
1420,30,1075,37,72,39409.31
1425,30,1181,40,117,39750.12
1430,30,1147,39,62,39762.31
1436,30,1272,40,79,39573.69
1441,30,1234,40,68,39600.38
1446,25,738,37,388,39675.50
1451,25,695,32,64,38793.75
1456,25,751,35,99,38691.81
1461,25,766,37,89,38799.50
1466,25,757,37,78,38793.19
1471,25,672,35,71,38815.69
1476,25,753,35,64,38593.81
1481,25,777,35,68,38726.94
1486,25,806,35,110,38937.88
1491,25,793,37,55,38849.31
1496,25,791,37,68,39084.38
1501,25,773,35,66,39125.75
1507,25,793,38,75,39103.94
1512,25,736,37,67,39014.94
1517,25,729,38,107,38645.75
1522,25,712,35,65,38826.06
1527,25,756,37,90,38723.19
1532,25,766,37,107,38786.88
1537,25,749,35,70,38683.50
1542,25,737,35,104,38543.94
1547,25,751,37,84,38622.25
1552,25,671,35,63,39680.75
1557,25,735,35,68,39642.62
1562,25,791,35,84,39610.12
1568,25,745,37,65,39505.44
1573,25,775,39,63,39583.00
1578,25,767,37,70,39559.12
1583,25,762,36,62,39557.94
1588,25,690,37,63,39338.69
1593,25,727,105,51,39197.19
1598,25,732,61,62,39412.00
1603,25,629,71,67,39228.38
1609,25,626,67,59,39263.12
1614,25,609,58,62,39320.44
1619,25,699,59,142,39249.75
1624,25,707,61,72,39045.12
1629,25,742,61,58,39199.31
1634,30,1212,67,92,40040.12
1639,25,618,67,110,39558.56
1644,30,1033,61,66,39753.81
1649,25,733,58,101,39749.50
1654,34,1730,42,47,40112.69
1659,25,639,45,338,39836.44
1665,34,1781,40,91,39756.06
1670,30,1224,41,67,39759.88
1675,25,392,19,175,39892.56
1680,25,409,25,71,40175.50
1685,25,614,31,94,39587.75
1690,25,595,29,71,39512.00
1695,25,532,28,63,39911.62
1700,25,488,33,105,40055.25
1705,25,586,29,189,40565.81
1710,25,582,29,68,40434.94
1715,25,603,30,67,39895.50
1720,25,592,29,67,39769.12
1725,25,634,30,66,39957.94
1730,25,555,33,62,40319.75
1735,25,455,28,69,40270.69
1741,25,615,32,67,40400.44
1746,25,613,33,69,40568.19
1751,25,546,41,70,40402.38
1756,25,578,42,73,40392.25
1761,25,567,35,57,40319.69
1766,25,577,36,76,39723.94
1771,25,609,36,89,39706.69
1776,25,558,36,304,39952.94
1781,25,601,34,59,39925.75
1786,25,539,37,198,40123.38
1791,25,468,33,54,40325.50
1796,30,1026,34,75,40565.75
1801,25,619,33,65,40263.69
1807,25,457,28,229,40280.69
1812,33,1151,27,64,40524.19
1817,33,1180,26,46,40607.00
1822,33,1251,29,70,41107.31
1827,33,1270,122,87,40673.06
1832,33,1400,29,110,40361.38
1837,33,1373,27,74,40454.81
1842,33,1324,32,81,40140.94
1847,33,1364,30,77,40141.62
1852,33,1210,30,69,40084.62
1857,33,1255,30,75,40388.69
1862,33,1231,30,91,40610.62
1868,33,1282,30,72,40726.25
1873,33,1379,32,62,40613.88
1878,33,1280,30,91,40723.81
1883,33,1174,29,71,40499.00
1888,33,1127,29,72,40412.88
1893,33,1133,29,85,40396.25
1898,25,589,31,380,40603.44
1904,25,588,32,55,40273.88
1909,25,566,30,67,40118.94
1914,25,596,33,65,39990.12
1919,25,486,32,435,39938.69
1924,25,605,31,55,39932.69
1929,25,558,31,445,40042.75
1934,25,602,36,62,39920.06
1939,25,535,32,68,39814.38
1944,25,599,33,64,39844.25
1949,25,542,30,82,39822.44
1954,25,566,31,103,39811.88
1959,25,494,30,59,39659.88
1965,25,605,31,216,39702.12
1970,25,599,33,70,39975.56
1975,25,570,32,155,40096.06
1980,25,554,32,83,40039.50
1985,25,659,34,85,40070.00
1990,25,626,33,69,40148.50
1995,25,597,32,72,39920.81
2000,25,647,34,69,39896.56
2005,25,657,35,65,39549.00
2010,25,609,35,14,39463.88
2015,25,645,33,85,39288.38
2020,25,615,32,59,39166.31
2025,25,649,31,72,39230.75
2030,25,588,31,107,39259.44
2035,25,634,33,67,39345.75
2041,25,668,33,60,39429.00
2046,25,670,30,87,39424.00
2051,25,576,31,92,39239.88
2056,25,656,29,85,39226.69
2061,25,624,30,58,39662.81
2066,25,613,33,72,39740.56
2071,25,610,31,65,39642.62
2076,25,624,31,260,39572.69
2081,25,652,31,78,39626.31
2086,25,656,31,61,39408.62
2091,25,538,31,62,39456.81
2096,25,615,28,65,39523.75
2102,25,571,27,71,40695.88
2107,25,601,28,77,39755.06
2112,25,621,26,114,39707.81
2117,25,655,28,89,39806.25
2122,25,568,30,72,39841.81
2127,25,617,30,62,39713.25
2132,25,597,28,63,39674.38
2137,25,627,26,70,39743.69
2142,25,553,27,188,39953.19
2147,25,645,29,98,40078.75
2152,25,590,32,182,40058.75
2157,25,605,32,106,39970.62
2162,25,637,30,55,39897.19
2167,25,675,28,66,39771.75
2172,25,654,27,127,39698.69
2177,25,656,28,65,39843.62
2183,25,523,26,110,39880.62
2188,25,623,29,60,39853.12
2193,25,642,25,243,40053.62
2198,25,644,27,61,39951.56
2203,25,649,27,73,39976.88
2208,25,646,27,104,40029.06
2213,25,640,29,180,39954.38
2218,25,576,30,211,40018.75
2223,25,644,29,191,40159.19
2228,25,660,30,66,39970.19
2233,25,515,30,57,39535.44
2238,25,636,29,345,39834.75
2243,25,627,31,195,39987.38
2249,25,602,30,87,40278.44
2254,25,614,29,75,39973.94
2259,25,648,30,164,39862.75
2264,25,676,29,113,39972.31
2269,25,596,29,246,39919.56
2274,25,644,31,263,39758.50
2279,25,612,28,69,39580.44
2284,25,661,30,76,39709.06
2289,25,621,26,83,39800.00
2294,25,647,32,78,39850.06
2300,25,651,32,71,39675.56
2305,25,590,28,75,39743.81
2310,25,670,28,61,39929.31
2315,25,640,27,110,39671.81
2320,25,607,26,63,39918.31
2325,25,571,27,63,39805.25
2330,30,1060,27,63,40528.06
2335,30,1136,29,77,40604.94
2340,25,671,28,69,39794.94
2346,25,648,26,80,39247.94
2351,25,514,27,62,39325.38
2356,25,647,27,83,39515.25
2361,25,730,27,89,39620.94
2366,25,603,28,59,39497.81
2371,25,620,27,71,39355.50
2376,25,642,27,325,39789.50
2381,25,612,27,65,39495.56
2386,25,646,27,105,39374.94
2391,25,685,27,70,39400.44
2396,25,692,29,65,39441.19
2401,33,1375,24,99,40426.06
2406,33,1456,27,69,40278.31
2412,33,1321,27,75,40231.56
2417,33,1348,32,73,40407.69
2422,33,1309,25,67,40300.81
2427,33,1424,28,72,40307.81
2432,33,1377,26,53,40538.25
2437,33,1314,29,78,40518.12
2442,33,1360,26,82,40560.31
2447,33,1415,27,74,40429.19
2452,33,1405,27,99,40375.44
2457,33,1320,29,105,40009.31
2462,33,1427,29,70,40208.56
2467,33,1364,25,88,40184.00
2472,33,1437,27,229,40476.62
2478,33,1438,27,54,40215.81
2483,33,1242,27,85,40098.25
2488,25,625,24,61,40399.06
2493,25,510,27,74,40197.94
2498,25,525,26,76,40111.81
2503,25,640,27,18,39743.31
2508,25,605,26,56,40060.81
2513,25,560,29,491,39825.56
